1girl,0,5874950,"1girls,sole_female"
highres,5,5089880,"high_res,high_resolution,hires"
solo,0,4893455,"female_solo,solo_female"
long_hair,0,4244361,"/lh,longhair"
breasts,0,3356797,"/b,boobs,breast,breats,oppai,tits"
commentary_request,5,3236749,/com
looking_at_viewer,0,3227815,"/lav,/pec,pov_eye_contact"
blush,0,2876074,"blushing,flush,flushed"
smile,0,2799896,":),:},smiling"
open_mouth,0,2302287,mouth_open
short_hair,0,2211299,"short-hair,shorthair"
simple_background,0,1761142,"/sbg,/simplebg"
shirt,0,1751160,"shirt_only,shirts"
blue_eyes,0,1722231,"blueeyes,light_blue_eyes"
absurdres,5,1714221,"insaneres,very_high_resolution"
large_breasts,0,1541895,"big_breasts,large_boobs,large_breast,large_tits,/lb"
skirt,0,1522608,
long_sleeves,0,1517570,"long_sleeve,/lsleeves"
blonde_hair,0,1503722,"blond,blonde,/blondeh,blondehair,blond_hair,gold_hair,yellow_hair"
multiple_girls,0,1499376,/ngirls
black_hair,0,1463288,"/blackh,black-hair,blackhair,dark_hair"
brown_hair,0,1454221,"/brownh,brown-hair,brownhair,brunette,chocolate_hair"
white_background,0,1445865,"/wbg,/whitebg"
hair_ornament,0,1382490,"hair_accessories,hair_accessory,hair_decs,hair_ornaments,/hornament"
1boy,0,1362767,"1boys,sole_male"
gloves,0,1317242,glove
commentary,5,1308650,commentaries
holding,0,1304397,"hold,holding_object"
dress,0,1249814,
red_eyes,0,1245542,"red_eye,redeyes"
hat,0,1180222,
bad_id,5,1161545,bad_skeb_id
bow,0,1147035,bows
thighhighs,0,1147014,"naked_thighhighs,nude_thighhighs,stocking,stockings,/t,thighhgihs,thighhigh,thigh_highs,thighhighs_only,thighhigs,thighighs"
original,3,1143737,"/o,original_character"
animal_ears,0,1138125,"kemonomimi,pokemon_ears"
hair_between_eyes,0,1127897,bangs_between_eyes
navel,0,1126679,"belly_button,bellybutton"
closed_mouth,0,1122804,
ribbon,0,1065129,ribbons
jewelry,0,1031595,"jewelery,jewellery"
2girls,0,997112,"2girl,2_girls"
cleavage,0,980354,"clevage,overboob"
bare_shoulders,0,952476,"bare_shoulder,bareshoulders"
very_long_hair,0,925543,"hair_past_waist,/vlh"
sitting,0,915609,"sit,sitting_down"
bad_pixiv_id,5,914212,
jacket,0,898220,
touhou,3,892241,"/to,toho"
twintails,0,885841,"/tt,twintaiks,twintail,twin_tails"
standing,0,879362,
medium_breasts,0,871808,
blue_hair,0,833706,"/blueh,bluehair"
brown_eyes,0,831012,"browneyes,light_brown_eyes"
green_eyes,0,828408,"green-eyes,greeneyes"
nipples,0,812926,nipple
white_shirt,0,810785,white_blouse
purple_eyes,0,786841,"light_purple_eyes,purpleeyes,violet_eyes"
underwear,0,779572,"shitagi,undergarments"
full_body,0,778665,
school_uniform,0,776517,"/s,school_girl,schoolgirl,school_uniforms,seifuku"
collarbone,0,770151,"clavicle,clavicles,collarbones"
tail,0,763391,"animal_tail,animal_tails,shippo,tails"
upper_body,0,748352,bust
photoshop_(medium),5,706399,
closed_eyes,0,684036,eyes_closed
white_hair,0,683003,whitehair
male_focus,0,677924,"boys_only,guys_only,male,male_only,man,men"
yellow_eyes,0,673958,"amber_eyes,golden_eyes,golden_eyes,gold_eyes,hazel_eyes,hazeleyes,yelloweyes"
pink_hair,0,668986,"magenta_hair,/pinkh,pinkhair"
multicolored_hair,0,663622,multicolor_hair
grey_hair,0,655242,gray_hair
swimsuit,0,649695,"bathing_suit,mizugi,swim_suit,swimsuits"
panties,0,636384,"/p,pantie,pantsu,panty"
ahoge,0,631222,
purple_hair,0,628510,"lavender_hair,/purpleh,purple-hair,purplehair,violet_hair"
monochrome,0,618259,"/m,monochome,monochorme,monochromatic"
braid,0,613505,"braided_hair,braids,hair_braid"
short_sleeves,0,606144,/ssleeves
flower,0,606121,flowers
sidelocks,0,593129,"forelocks,payot"
hair_ribbon,0,592669,"hair_ribbons,/hribbon,ribbon_hair_ornament,ribbon_in_hair,ribbons_in_hair"
ponytail,0,586841,"long_ponytail,pony_tail"
weapon,0,581583,weapons
ass,0,579969,"butt,butt_cheeks,buttocks,oshiri,rearend"
heart,0,563933,"<3,hearts"
translated,5,550903,"translatied,translation"
thighs,0,548961,thigh
cowboy_shot,0,540842,
earrings,0,539517,"aqua_earrings,black_earrings,blue_earrings,brown_earrings,ear_ring,earring,ear_rings,green_earrings,grey_earrings,pink_earrings,purple_earrings,red_earrings,white_earrings,yellow_earrings"
:d,0,537401,
hetero,0,531778,
comic,0,529373,"comics,manga"
outdoors,0,525142,"outdoor,outside"
hair_bow,0,520725,"hairbow,hair_bows"
pantyhose,0,515170,"panty_hose,tights"
translation_request,5,513974,"/tr,translate_request,translationrequest,translation_requested"
sweat,0,508522,sweating
red_hair,0,505483,"/redh,redhair,red_head,redhead"
kantai_collection,3,494174,"kancolle,kankore"
bikini,0,492690,
greyscale,0,490958,"black_and_white,b&w,grayscale"
pleated_skirt,0,488114,
nude,0,483020,naked
small_breasts,0,481897,
frills,0,481354,"frill,frilled,frilly,ruffles"
parted_lips,0,478898,
open_clothes,0,477646,open_clothing
teeth,0,474428,bared_teeth
hairband,0,462358,hair_band
multiple_boys,0,449963,/nboys
horns,0,448641,
censored,0,445813,"censor,censoring"
boots,0,445039,"boot,naked_boots"
lying,0,435536,"laying,laying_down,lying_down"
english_commentary,5,431618,
food,0,430383,
necktie,0,429363,"neck_tie,tie"
collared_shirt,0,428996,collared_blouse
shorts,0,428994,short_pants
wings,0,426111,wing
sky,0,425204,sky_background
one_eye_closed,0,421184,wink
black_gloves,0,419501,black_glove
detached_sleeves,0,415501,"armsleeves,detached_sleeve,/dsleeves,naked_sleeves"
sleeveless,0,414925,no_sleeves
alternate_costume,0,413682,"/acos,alternate_outfit,alternate_outfit,alternative_costume"
green_hair,0,407199,"/greenh,greenhair"
shoes,0,405695,shoe
pants,0,400727,"long_pants,slacks,trousers"
penis,0,398957,"cock,cocks,dick,dicks"
choker,0,391302,
japanese_clothes,0,386752,"japanese_clothing,traditional_japanese_clothes,wafuku"
pointy_ears,0,376669,"elf_ears,elven_ears,long_ears,pointed_ears,pointy_ear,pointy-ears"
virtual_youtuber,0,376627,vtuber
socks,0,371978,"leghighs,naked_socks,sock"
tongue,0,367894,tongues
medium_hair,0,362921,shoulder-length_hair
